ProvinceCode,Province,DistrictCode,District,ChiefdomCode,Chiefdom,SectionCode,Section,LocalityCode,Locality,chf,loc,CHIEFDOM_SECTION,geonm_placename,geonm_nm,geonm_altnm,geonm_long,geonm_lat,geonm_dist,osm_placename,osm_nm,osm_long,osm_lat,osm_dist
2.0,North ,5.0,TONKOLILI,6.0,KUNIKE,1.0,ROLAL,1.0,MAMANSO,KONIKE SANDA,MAMANSO,KUNIKE_ROLAL,MAMANSO,Mamansu,Mamansu,-11.54855,8.71507,1,MAMANSO,Mamansu,-11.5485374,8.7157642,1
2.0,North ,5.0,TONKOLILI,6.0,KUNIKE,2.0,SANDA,1.0,MASHIAKA,KONIKE SANDA,MASHIAKA,KUNIKE_SANDA,MASHIAKA,Maseka,Maseka,-11.46564,8.59633,3,MASHIAKA,Masira,-11.4373673,8.6569958,3
2.0,North ,5.0,TONKOLILI,6.0,KUNIKE,3.0,SANDA,2.0,SECTION PATIFU LINE,KONIKE SANDA,PATIFU LINE,KUNIKE_SANDA,PATIFU LINE,Petifu-Chen,Petifu-Chen,-11.55211,8.61153,5,PATIFU LINE,Petifu Cheh,-11.5521107,8.6116864,5
2.0,North ,5.0,TONKOLILI,6.0,KUNIKE,4.0,THAMAH,1.0,FOTANE,KONIKE SANDA,FOTANE,KUNIKE_THAMAH,FOTANE,Fotane,"Fotane,Fotani",-11.43662,8.57266,0,FOTANE,Fotani,-11.4367445,8.5727734,1
2.0,North ,5.0,TONKOLILI,6.0,KUNIKE,5.0,THAMBAYA,1.0,FOTHANEH BANA,KONIKE SANDA,FOTHANEH BANA,KUNIKE_THAMBAYA,FOTHANEH BANA,Mankibana,Mankibana,-11.44893,8.67629,7,FOTHANEH BANA,Fothono Thama,-11.3831324,8.5727393,6
2.0,North ,5.0,TONKOLILI,6.0,KUNIKE,6.0,WANA,1.0,MAGBANABUM,KONIKE SANDA,MAGBANABUM,KUNIKE_WANA,MAGBANABUM,Magbanabum,Magbanabum,-11.49435,8.7966,0,MAGBANABUM,Magbanabum,-11.4950527,8.7950487,0
2.0,North ,5.0,TONKOLILI,6.0,KUNIKE,7.0,YENKEH,1.0,MABINEH 2,KONIKE SANDA,MABINEH 2,KUNIKE_YENKEH,MABINEH 2,Matenemoi,"Matenemoi,Matenomi",-11.50659,8.68258,5,MABINEH 2,Masingbi,-11.4737407,8.6376457,5
1.0,East,2.0,KENEMA,8.0,LANGRAMA,1.0,KORJEI,1.0,YABAIMA,LANGRAMA,YABAIMA,LANGRAMA_KORJEI,YABAIMA,Yabaima,Yabaima,-11.478,7.63965,0,YABAIMA,Yabaima,-11.477356,7.6401449,0
1.0,East,2.0,KENEMA,8.0,LANGRAMA,2.0,NJEIWOMA,1.0,WOYAMA,LANGRAMA,WOYAMA,LANGRAMA_NJEIWOMA,WOYAMA,Woyama,Woyama,-11.47396,7.69202,0,WOYAMA,Woyama,-11.4739905,7.6919223,0
2.0,North ,1.0,BOMBALI,5.0,LIBEISAYGAHUN,1.0,MAGBAINGBA,1.0,MAGBAINGBA,LIBEISAYGAHUN,MAGBAINGBA,LIBEISAYGAHUN_MAGBAINGBA,MAGBAINGBA,Magbengba,Magbengba,-12.32137,8.93778,2,MAGBAINGBA,Magbengba,-12.3213314,8.9383425,2
2.0,North ,1.0,BOMBALI,5.0,LIBEISAYGAHUN,2.0,MAGBANAMBA,1.0,GBONKONKA,LIBEISAYGAHUN,GBONKONKA,LIBEISAYGAHUN_MAGBANAMBA,GBONKONKA,Bongonga,Bongonga,-12.50293,9.03444,3,GBONKONKA,Batkanu,-12.4156869,9.0768074,6
2.0,North ,1.0,BOMBALI,5.0,LIBEISAYGAHUN,3.0,MANDAWAHUN,1.0,MATOTO,LIBEISAYGAHUN,MATOTO,LIBEISAYGAHUN_MANDAWAHUN,MATOTO,Matoke,Matoke,-12.34293,8.87475,2,MATOTO,Matwa,-12.2858988,8.9561078,3
2.0,North ,1.0,BOMBALI,5.0,LIBEISAYGAHUN,4.0,ROTHATHA,1.0,KAIMUNDAY,LIBEISAYGAHUN,KAIMUNDAY,LIBEISAYGAHUN_ROTHATHA,KAIMUNDAY,Mamonda,Mamonda,-12.36976,8.95393,4,KAIMUNDAY,Mamonda,-12.366499,8.9539834,4
1.0,East,2.0,KENEMA,9.0,LOWER BAMBARA,1.0,BONYA,1.0,BONYA PELEWAHUN,LOWER BAMBARA,PELEWAHUN,LOWER BAMBARA_BONYA,PELEWAHUN,Fulawahun,Fulawahun,-11.12358,8.11681,3,PELEWAHUN,Pelewahun,-11.0617786,8.3329576,0
1.0,East,2.0,KENEMA,9.0,LOWER BAMBARA,1.0,BONYA,2.0,BONYA SAAMA,LOWER BAMBARA,SAAMA,LOWER BAMBARA_BONYA,SAAMA,Sabama,Sabama,-11.00741,8.27926,1,SAAMA,Sabama,-11.0070557,8.2800461,1
1.0,East,2.0,KENEMA,9.0,LOWER BAMBARA,2.0,GBOO,3.0,GBOO KOMENDE LUYAMA,LOWER BAMBARA,KOMENDE LUYAMA,LOWER BAMBARA_GBOO,KOMENDE LUYAMA,Komende Luyama,"Komende,Komende Luyama",-11.00765,7.98312,0,KOMENDE LUYAMA,Komende Luyama,-11.0073715,7.9837354,0
1.0,East,2.0,KENEMA,9.0,LOWER BAMBARA,3.0,GBORO,4.0,GBORO KONIA KPINDIMA,LOWER BAMBARA,KONIA KPINDIMA,LOWER BAMBARA_GBORO,KONIA KPINDIMA,Konagiima,Konagiima,-11.07922,8.05867,6,KONIA KPINDIMA,Banda Bulima,-11.0282634,8.2849654,8
1.0,East,2.0,KENEMA,9.0,LOWER BAMBARA,4.0,KORJEI NGIEYA,5.0,KORJEI NGIEYA KAMBOMA OLD TOWN,LOWER BAMBARA,KAMBOMA OLD,LOWER BAMBARA_KORJEI NGIEYA,KAMBOMA OLD,Komboma,Komboma,-11.04031,8.24423,5,KAMBOMA OLD,Mamboma,-11.0595584,8.1617466,5
1.0,East,2.0,KENEMA,9.0,LOWER BAMBARA,2.0,NYAWA,6.0,NYAWA NJAGBAHUN,LOWER BAMBARA,NJAGBAHUN,LOWER BAMBARA_NYAWA,NJAGBAHUN,Jagbahun,Jagbahun,-11.06053,8.25149,1,NJAGBAHUN,Dagbahun,-11.060801,8.2509138,2
